train_no,section,arr_time,dep_time,direction,days
12254,GZB-ALJN,14:10,14:18,UP,"TUE,WED,THU,FRI,SUN"
04439,VAPI-ST,02:25,02:29,UP,"MON,WED,THU,FRI,SAT,SUN"
04439,GZB-MTC,02:59,03:05,UP,"MON,WED,THU,FRI,SAT,SUN"
12177,NDLS-GZB,02:20,02:25,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12177,GZB-ALJN,03:01,03:04,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04880,NDLS-GZB,00:25,00:29,UP,"MON,TUE,WED,THU,SAT,SUN"
04880,GZB-ALJN,01:25,01:30,UP,"MON,TUE,WED,THU,SAT,SUN"
04152,GZB-MTC,07:05,07:10,DOWN,"MON,TUE,THU,FRI,SAT,SUN"
04152,GZB-ALJN,07:43,07:51,DOWN,"MON,TUE,THU,FRI,SAT,SUN"
22127,VAPI-ST,05:00,05:03,DOWN,"TUE,WED,THU,FRI,SAT,SUN"
22127,GZB-MTC,05:49,05:55,DOWN,"TUE,WED,THU,FRI,SAT,SUN"
22752,DLI-DEC,11:10,11:18,UP,"MON,WED,THU,FRI,SAT,SUN"
22752,DEC-GGN,11:47,11:53,UP,"MON,WED,THU,FRI,SAT,SUN"
04041,NZM-FDB,02:20,02:26,DOWN,"MON,WED,THU,FRI,SUN"
04041,NDLS-PWL,03:01,03:06,DOWN,"MON,WED,THU,FRI,SUN"
12481,NDLS-PWL,04:20,04:27,DOWN,"MON,TUE,WED,THU,SAT,SUN"
12481,PWL-MTJ,04:59,05:03,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04967,PNP-UMB,01:50,01:53,UP,"MON,TUE,THU,FRI,SAT,SUN"
04967,GZB-ALJN,02:33,02:36,UP,"MON,TUE,THU,FRI,SAT,SUN"
04844,NZM-FDB,16:20,16:24,DOWN,"MON,THU,FRI,SAT,SUN"
04844,NDLS-PWL,17:00,17:03,DOWN,"MON,THU,FRI,SAT,SUN"
22640,GZB-MTC,09:30,09:35,DOWN,"MON,TUE,WED,THU,SAT,SUN"
22640,GZB-ALJN,10:15,10:21,DOWN,"MON,TUE,WED,THU,SAT,SUN"
12029,PNP-UMB,11:30,11:33,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12029,GZB-ALJN,12:21,12:24,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12663,GZB-MTC,07:35,07:39,UP,"TUE,WED,THU,FRI,SAT"
12663,GZB-ALJN,08:37,08:40,UP,"TUE,WED,THU,FRI,SAT"
22564,NZM-FDB,19:50,19:55,UP,"MON,TUE,THU,FRI,SAT"
22564,NDLS-PWL,20:39,20:44,UP,"MON,TUE,THU,FRI,SAT"
04273,NDLS-GZB,00:20,00:25,DOWN,"MON,WED,THU,SAT,SUN"
04273,GZB-ALJN,01:02,01:07,DOWN,"MON,WED,THU,SAT,SUN"
22565,GZB-MTC,10:20,10:26,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22565,GZB-ALJN,11:14,11:21,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12325,NZM-FDB,23:15,23:19,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12325,NDLS-PWL,23:53,23:56,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04339,NZM-FDB,09:55,10:02,UP,"MON,THU,FRI,SAT,SUN"
04339,NDLS-PWL,10:49,10:57,UP,"MON,THU,FRI,SAT,SUN"
12480,VAPI-ST,14:15,14:18,UP,"MON,TUE,WED,THU,FRI,SUN"
12480,GZB-MTC,15:07,15:15,UP,"MON,TUE,WED,THU,FRI,SUN"
04036,PNP-UMB,04:25,04:29,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04036,GZB-ALJN,05:27,05:31,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22170,NZM-FDB,02:30,02:34,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22170,NDLS-PWL,03:16,03:19,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04421,NDLS-GZB,22:10,22:16,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04421,GZB-ALJN,23:04,23:10,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12472,PNP-UMB,04:00,04:07,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12472,GZB-ALJN,04:40,04:48,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22654,VAPI-ST,03:10,03:17,DOWN,"MON,TUE,WED,THU,SAT,SUN"
22654,GZB-MTC,03:45,03:51,DOWN,"MON,TUE,WED,THU,SAT,SUN"
22585,PNP-UMB,10:05,10:10,UP,"MON,TUE,WED,FRI,SAT,SUN"
22585,GZB-ALJN,10:51,10:56,UP,"MON,TUE,WED,FRI,SAT,SUN"
04763,VAPI-ST,13:55,14:00,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04763,GZB-MTC,14:53,14:58,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04099,NDLS-PWL,08:35,08:39,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04099,PWL-MTJ,09:10,09:14,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04425,NDLS-GZB,19:10,19:16,UP,"TUE,WED,THU,FRI,SUN"
04425,GZB-ALJN,20:01,20:07,UP,"TUE,WED,THU,FRI,SUN"
22935,NDLS-GZB,08:50,08:56,DOWN,"MON,TUE,WED,THU,SAT,SUN"
22935,GZB-ALJN,09:40,09:46,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04374,DLI-DEC,03:50,03:54,UP,"MON,WED,THU,SAT,SUN"
04374,DEC-GGN,04:38,04:46,UP,"MON,WED,THU,SAT,SUN"
04390,PNP-UMB,09:10,09:15,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04390,GZB-ALJN,09:49,09:52,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04309,PNP-UMB,15:10,15:16,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04309,GZB-ALJN,16:13,16:16,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12397,PNP-UMB,11:05,11:09,DOWN,"MON,WED,THU,FRI,SAT,SUN"
12397,GZB-ALJN,11:35,11:41,DOWN,"MON,WED,THU,FRI,SAT,SUN"
04417,VAPI-ST,23:40,23:48,DOWN,"MON,TUE,WED,THU,FRI,SAT"
04417,GZB-MTC,00:48,00:52,DOWN,"MON,TUE,WED,THU,FRI,SAT"
04376,NDLS-GZB,04:20,04:24,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04376,GZB-ALJN,04:56,04:59,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04217,NDLS-GZB,05:30,05:34,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04217,GZB-ALJN,06:24,06:29,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04212,PNP-UMB,11:00,11:03,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04212,GZB-ALJN,11:29,11:32,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04256,NDLS-PWL,05:25,05:28,DOWN,"MON,TUE,FRI,SAT,SUN"
04256,PWL-MTJ,06:14,06:17,DOWN,"MON,TUE,FRI,SAT,SUN"
22016,NDLS-GZB,02:05,02:09,DOWN,"MON,TUE,WED,THU,SUN"
22016,GZB-ALJN,03:01,03:09,DOWN,"MON,TUE,WED,THU,SUN"
22796,NZM-FDB,01:15,01:21,DOWN,"MON,WED,THU,FRI,SAT,SUN"
22796,NDLS-PWL,02:13,02:17,DOWN,"MON,WED,THU,FRI,SAT,SUN"
22469,DLI-DEC,07:55,08:00,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22469,DEC-GGN,08:42,08:48,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12329,NDLS-PWL,10:25,10:33,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12329,PWL-MTJ,11:16,11:22,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22517,NZM-FDB,02:35,02:38,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22517,NDLS-PWL,03:20,03:26,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22747,NDLS-PWL,08:30,08:38,DOWN,"TUE,WED,THU,FRI,SUN"
22747,PWL-MTJ,09:36,09:40,DOWN,"TUE,WED,THU,FRI,SUN"
12093,PNP-UMB,16:15,16:23,UP,"MON,WED,THU,FRI,SUN"
12093,GZB-ALJN,17:10,17:16,UP,"MON,WED,THU,FRI,SUN"
04337,GZB-MTC,14:40,14:47,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04337,GZB-ALJN,15:44,15:49,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04519,NZM-FDB,07:40,07:43,DOWN,"MON,TUE,THU,SAT,SUN"
04519,NDLS-PWL,08:28,08:35,DOWN,"MON,TUE,THU,SAT,SUN"
12780,NDLS-PWL,11:55,11:58,UP,"MON,TUE,WED,THU,FRI,SAT"
12780,PWL-MTJ,12:53,13:00,UP,"MON,TUE,WED,THU,FRI,SAT"
22006,DLI-DEC,06:45,06:48,UP,"MON,TUE,THU,FRI,SUN"
22006,DEC-GGN,07:28,07:36,UP,"MON,TUE,THU,FRI,SUN"
12764,NDLS-PWL,22:45,22:53,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12764,PWL-MTJ,23:21,23:25,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04086,GZB-MTC,15:05,15:09,DOWN,"MON,TUE,WED,FRI,SUN"
04086,GZB-ALJN,15:45,15:49,DOWN,"MON,TUE,WED,FRI,SUN"
22621,GZB-MTC,15:15,15:22,DOWN,"MON,TUE,WED,THU,FRI,SAT"
22621,GZB-ALJN,15:48,15:56,DOWN,"MON,TUE,WED,THU,FRI,SAT"
22539,PNP-UMB,06:00,06:07,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22539,GZB-ALJN,06:44,06:50,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22296,GZB-MTC,07:25,07:31,DOWN,"MON,WED,THU,FRI,SAT,SUN"
22296,GZB-ALJN,07:58,08:01,DOWN,"MON,WED,THU,FRI,SAT,SUN"
04572,NDLS-GZB,09:20,09:23,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04572,GZB-ALJN,10:21,10:27,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
04587,NDLS-GZB,08:35,08:39,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04587,GZB-ALJN,09:25,09:33,DOWN,"MON,TUE,WED,THU,SAT,SUN"
04471,NDLS-PWL,02:30,02:33,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04471,PWL-MTJ,03:07,03:14,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04347,PNP-UMB,04:40,04:47,UP,"MON,TUE,WED,FRI,SUN"
04347,GZB-ALJN,05:35,05:38,UP,"MON,TUE,WED,FRI,SUN"
22744,DLI-DEC,04:15,04:20,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
22744,DEC-GGN,05:04,05:09,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12791,NDLS-PWL,18:35,18:43,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12791,PWL-MTJ,19:39,19:47,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22646,DLI-DEC,23:55,00:03,UP,"MON,TUE,WED,THU,FRI,SUN"
22646,DEC-GGN,00:50,00:54,UP,"MON,TUE,WED,THU,FRI,SUN"
12377,PNP-UMB,16:05,16:10,UP,"MON,TUE,THU,FRI,SAT,SUN"
12377,GZB-ALJN,16:53,16:57,UP,"MON,TUE,THU,FRI,SAT,SUN"
22619,NDLS-PWL,16:40,16:47,UP,"MON,TUE,THU,FRI,SAT,SUN"
22619,PWL-MTJ,17:14,17:18,UP,"MON,TUE,THU,FRI,SAT,SUN"
04176,GZB-MTC,09:25,09:33,DOWN,"TUE,WED,THU,FRI,SAT"
04176,GZB-ALJN,10:04,10:10,DOWN,"TUE,WED,THU,FRI,SAT"
22939,NDLS-PWL,03:15,03:19,DOWN,"MON,TUE,WED,THU,FRI,SUN"
22939,PWL-MTJ,04:06,04:11,DOWN,"MON,TUE,WED,THU,FRI,SUN"
04395,NDLS-PWL,14:15,14:21,UP,"MON,TUE,WED,THU,FRI,SAT"
04395,PWL-MTJ,14:46,14:51,UP,"MON,TUE,WED,THU,FRI,SAT"
22990,NDLS-PWL,02:50,02:55,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
22990,PWL-MTJ,03:36,03:39,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12686,PNP-UMB,02:00,02:06,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12686,GZB-ALJN,02:59,03:07,UP,"MON,TUE,WED,THU,FRI,SAT,SUN"
12349,NZM-FDB,17:35,17:41,UP,"MON,TUE,THU,FRI,SAT,SUN"
12349,NDLS-PWL,18:30,18:35,UP,"MON,TUE,THU,FRI,SAT,SUN"
04855,GZB-MTC,04:15,04:21,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
04855,GZB-ALJN,05:00,05:04,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12420,NZM-FDB,01:25,01:30,UP,"TUE,WED,THU,FRI,SAT,SUN"
12420,NDLS-PWL,01:56,02:01,UP,"TUE,WED,THU,FRI,SAT,SUN"
04244,DLI-DEC,03:05,03:10,UP,"TUE,WED,THU,FRI,SAT,SUN"
04244,DEC-GGN,03:45,03:51,UP,"TUE,WED,THU,FRI,SAT,SUN"
04540,NDLS-PWL,23:20,23:23,UP,"MON,TUE,THU,FRI,SAT,SUN"
04540,PWL-MTJ,00:09,00:16,UP,"MON,TUE,THU,FRI,SAT,SUN"
12728,GZB-MTC,01:15,01:21,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12728,GZB-ALJN,01:56,02:03,DOWN,"MON,TUE,WED,THU,FRI,SAT,SUN"
12969,NZM-FDB,02:15,02:18,UP,"MON,TUE,WED,THU,SUN"
12969,NDLS-PWL,03:04,03:08,UP,"MON,TUE,WED,THU,SUN"
12395,NDLS-PWL,23:35,23:43,DOWN,"MON,TUE,WED,FRI,SUN"
12395,PWL-MTJ,00:42,00:47,DOWN,"MON,TUE,WED,FRI,SUN"
12140,PNP-UMB,12:40,12:44,DOWN,"TUE,WED,THU,FRI,SAT"
