defect_id,source_system,department,section,severity,days_overdue,asset_age_years,past_failure_count,deferred_count,calculated_risk_score
DEF-2026-0196,TDMS,TRD,GZB-ALJN,1,154,24.5,5,1,100.0
DEF-2026-0197,TDMS,TRD,GZB-ALJN,5,21,3.6,6,5,100.0
DEF-2026-0198,TMS,Engineering,DLI-DEC,5,21,40.2,1,4,100.0
DEF-2026-0199,TMS,Engineering,DEC-GGN,4,20,10.3,4,4,100.0
DEF-2026-0200,TDMS,TRD,GZB-ALJN,3,8,6.9,8,4,100.0
DEF-2026-0201,TMS,Engineering,PWL-MTJ,2,10,32.3,4,4,94.9
DEF-2026-0202,TMS,Engineering,NDLS-GZB,2,28,4.2,0,3,65.0
DEF-2026-0203,TMS,Engineering,DEC-GGN,1,13,27.6,7,4,99.3
DEF-2026-0204,TMS,Engineering,NDLS-PWL,4,22,41.7,7,4,100.0
DEF-2026-0205,TMS,Engineering,PWL-MTJ,4,22,15.3,7,3,100.0
DEF-2026-0206,TDMS,TRD,DEC-GGN,1,97,18.9,5,6,100.0
DEF-2026-0207,TMS,Engineering,DEC-GGN,1,15,21.8,2,2,55.7
DEF-2026-0208,SMMS,S & T,GZB-ALJN,1,134,36.3,5,4,100.0
DEF-2026-0209,TDMS,TRD,NZM-FDB,3,12,12.5,2,3,81.7
DEF-2026-0210,TMS,Engineering,PWL-MTJ,1,141,20.7,5,4,100.0
DEF-2026-0211,TMS,Engineering,GZB-ALJN,3,177,6.9,7,2,100.0
DEF-2026-0212,TDMS,TRD,GZB-MTC,1,30,6.7,6,2,80.7
DEF-2026-0213,SMMS,S & T,NDLS-PWL,1,66,40.8,0,6,100.0
DEF-2026-0214,SMMS,S & T,DEC-GGN,2,9,21.2,3,5,91.9
DEF-2026-0215,TMS,Engineering,NDLS-GZB,4,108,42.3,5,0,100.0
DEF-2026-0216,SMMS,S & T,NDLS-GZB,3,63,4.7,8,0,100.0
DEF-2026-0217,SMMS,S & T,NZM-FDB,4,59,39.2,3,3,100.0
DEF-2026-0218,SMMS,S & T,NDLS-PWL,4,12,11.1,2,3,93.1
DEF-2026-0219,TMS,Engineering,NDLS-GZB,2,123,8.6,2,1,100.0
DEF-2026-0220,TMS,Engineering,NDLS-PWL,1,23,43.9,2,0,54.4
DEF-2026-0221,SMMS,S & T,GZB-MTC,2,14,21.5,6,4,100.0
DEF-2026-0222,TMS,Engineering,DLI-DEC,1,13,38.4,3,5,89.2
DEF-2026-0223,TMS,Engineering,GZB-MTC,3,39,26.4,5,0,97.5
DEF-2026-0224,TDMS,TRD,GZB-ALJN,1,165,44.3,4,3,100.0
DEF-2026-0225,SMMS,S & T,DLI-DEC,3,7,30.5,1,5,95.4
DEF-2026-0226,SMMS,S & T,DEC-GGN,5,17,24.0,7,4,100.0
DEF-2026-0227,TMS,Engineering,DLI-DEC,5,25,3.5,4,5,100.0
DEF-2026-0228,TMS,Engineering,GZB-MTC,2,5,44.6,0,2,59.8
DEF-2026-0229,TMS,Engineering,DLI-DEC,3,27,28.5,4,6,100.0
DEF-2026-0230,TMS,Engineering,PWL-MTJ,1,5,17.9,2,2,48.2
DEF-2026-0231,TMS,Engineering,NDLS-PWL,4,27,5.6,2,4,100.0
DEF-2026-0232,TDMS,TRD,DEC-GGN,4,13,20.9,2,1,82.7
DEF-2026-0233,TMS,Engineering,GZB-MTC,2,26,22.0,7,2,100.0
DEF-2026-0234,SMMS,S & T,NDLS-PWL,4,17,32.3,7,2,100.0
DEF-2026-0235,SMMS,S & T,NDLS-GZB,2,9,15.6,8,5,100.0
DEF-2026-0236,TMS,Engineering,DLI-DEC,3,11,30.0,4,2,91.6
DEF-2026-0237,TMS,Engineering,PWL-MTJ,1,20,35.2,3,5,92.1
DEF-2026-0238,SMMS,S & T,NZM-FDB,3,5,30.9,1,0,56.9
DEF-2026-0239,TMS,Engineering,NDLS-GZB,1,14,14.2,3,0,42.6
DEF-2026-0240,SMMS,S & T,NDLS-PWL,1,86,29.4,1,0,80.9
DEF-2026-0241,TMS,Engineering,NDLS-PWL,4,175,9.9,1,5,100.0
DEF-2026-0242,TMS,Engineering,NZM-FDB,2,29,41.7,4,6,100.0
DEF-2026-0243,SMMS,S & T,NDLS-GZB,3,24,35.6,4,6,100.0
DEF-2026-0244,TMS,Engineering,GZB-MTC,2,97,13.4,7,0,100.0
DEF-2026-0245,TDMS,TRD,NZM-FDB,1,12,6.7,8,6,100.0
DEF-2026-0246,TMS,Engineering,DLI-DEC,3,144,6.4,1,0,100.0
DEF-2026-0247,TDMS,TRD,NZM-FDB,1,15,2.0,0,5,59.3
DEF-2026-0248,TMS,Engineering,NZM-FDB,4,28,24.2,7,3,100.0
DEF-2026-0249,TMS,Engineering,DEC-GGN,4,25,2.1,7,0,100.0
DEF-2026-0250,TMS,Engineering,GZB-MTC,2,1,38.7,5,0,67.6
DEF-2026-0251,TDMS,TRD,NZM-FDB,2,6,43.6,3,2,76.5
DEF-2026-0252,TDMS,TRD,NDLS-GZB,3,11,29.2,3,1,78.3
DEF-2026-0253,TMS,Engineering,DLI-DEC,4,18,4.7,8,5,100.0
DEF-2026-0254,TMS,Engineering,DEC-GGN,5,146,2.7,5,0,100.0
DEF-2026-0255,TDMS,TRD,NDLS-PWL,1,85,30.7,7,5,100.0
DEF-2026-0256,SMMS,S & T,NDLS-GZB,1,40,23.0,0,3,67.7
DEF-2026-0257,TMS,Engineering,NDLS-PWL,3,0,40.9,1,3,80.4
DEF-2026-0258,TDMS,TRD,PWL-MTJ,1,26,27.6,3,0,55.1
DEF-2026-0259,TMS,Engineering,DEC-GGN,4,23,44.0,8,1,100.0
DEF-2026-0260,TDMS,TRD,NDLS-PWL,4,24,16.4,1,2,89.5
DEF-2026-0261,TDMS,TRD,GZB-ALJN,1,11,12.5,0,1,31.1
DEF-2026-0262,TDMS,TRD,NDLS-PWL,3,12,22.9,0,0,52.4
DEF-2026-0263,TDMS,TRD,NDLS-PWL,4,18,36.7,7,5,100.0
DEF-2026-0264,TMS,Engineering,NDLS-PWL,3,16,42.3,0,4,92.5
DEF-2026-0265,SMMS,S & T,GZB-ALJN,3,2,2.2,3,1,62.1
DEF-2026-0266,TDMS,TRD,GZB-MTC,5,123,44.4,8,1,100.0
DEF-2026-0267,TDMS,TRD,NDLS-PWL,3,8,36.3,7,3,100.0
DEF-2026-0268,TMS,Engineering,GZB-MTC,5,1,20.7,5,4,100.0
DEF-2026-0269,TMS,Engineering,GZB-ALJN,4,29,35.8,7,4,100.0
DEF-2026-0270,TMS,Engineering,GZB-ALJN,1,14,10.5,5,1,59.6
DEF-2026-0271,TMS,Engineering,GZB-MTC,1,136,18.1,3,0,100.0
DEF-2026-0272,SMMS,S & T,DEC-GGN,1,13,28.2,2,3,64.6
DEF-2026-0273,TMS,Engineering,NDLS-GZB,4,122,10.7,2,0,100.0
DEF-2026-0274,TMS,Engineering,NDLS-PWL,1,14,34.7,3,2,65.8
DEF-2026-0275,TDMS,TRD,NZM-FDB,3,19,25.8,3,0,74.2
DEF-2026-0276,TDMS,TRD,PWL-MTJ,2,152,14.0,6,5,100.0
DEF-2026-0277,TMS,Engineering,NDLS-GZB,2,69,40.6,6,0,100.0
DEF-2026-0278,TDMS,TRD,GZB-MTC,4,16,19.0,1,3,93.2
DEF-2026-0279,TMS,Engineering,GZB-ALJN,3,135,7.7,4,1,100.0
DEF-2026-0280,TMS,Engineering,GZB-MTC,3,148,34.1,0,3,100.0
DEF-2026-0281,TDMS,TRD,NDLS-GZB,4,78,17.9,7,5,100.0
DEF-2026-0282,TDMS,TRD,PWL-MTJ,1,28,14.8,4,5,94.2
DEF-2026-0283,TDMS,TRD,GZB-ALJN,1,116,4.4,5,0,100.0
DEF-2026-0284,TMS,Engineering,PWL-MTJ,2,1,29.9,1,4,72.1
DEF-2026-0285,TMS,Engineering,PWL-MTJ,2,17,33.7,3,6,100.0
DEF-2026-0286,TMS,Engineering,GZB-MTC,4,16,4.7,5,3,100.0
DEF-2026-0287,SMMS,S & T,DEC-GGN,4,15,24.9,4,3,100.0
DEF-2026-0288,TDMS,TRD,NZM-FDB,5,25,40.0,1,0,96.5
DEF-2026-0289,TDMS,TRD,NDLS-PWL,2,30,13.9,2,3,81.1
DEF-2026-0290,TDMS,TRD,GZB-MTC,3,20,43.7,8,1,100.0
DEF-2026-0291,TMS,Engineering,DEC-GGN,2,20,4.7,3,6,99.4
DEF-2026-0292,TMS,Engineering,GZB-MTC,2,20,30.6,8,6,100.0
DEF-2026-0293,TMS,Engineering,DLI-DEC,3,28,13.2,7,2,100.0
DEF-2026-0294,TDMS,TRD,DLI-DEC,1,11,9.2,2,5,70.8
DEF-2026-0295,TMS,Engineering,NDLS-PWL,1,22,7.0,5,4,85.5
DEF-2026-0296,TMS,Engineering,DEC-GGN,2,174,30.6,5,1,100.0
DEF-2026-0297,TMS,Engineering,NDLS-PWL,5,17,3.1,7,6,100.0
DEF-2026-0298,TDMS,TRD,DLI-DEC,5,32,25.5,8,2,100.0
DEF-2026-0299,TMS,Engineering,GZB-ALJN,2,30,36.4,7,2,100.0
DEF-2026-0300,SMMS,S & T,DEC-GGN,5,4,3.1,3,3,100.0
DEF-2026-0301,TMS,Engineering,NDLS-GZB,1,20,11.6,4,1,58.1
DEF-2026-0302,TMS,Engineering,NDLS-GZB,4,53,19.0,7,2,100.0
DEF-2026-0303,TDMS,TRD,DEC-GGN,2,4,18.0,4,2,70.6
DEF-2026-0304,TMS,Engineering,GZB-MTC,2,17,40.2,6,6,100.0
DEF-2026-0305,TMS,Engineering,PWL-MTJ,4,139,19.8,1,1,100.0
DEF-2026-0306,TMS,Engineering,NDLS-GZB,5,16,43.3,6,0,100.0
DEF-2026-0307,TMS,Engineering,NDLS-PWL,5,13,32.5,2,1,99.3
DEF-2026-0308,TDMS,TRD,GZB-MTC,2,41,15.0,4,3,99.1
DEF-2026-0309,TMS,Engineering,DLI-DEC,4,4,29.5,7,0,100.0
DEF-2026-0310,TMS,Engineering,DEC-GGN,2,22,34.9,7,0,89.7
DEF-2026-0311,SMMS,S & T,NDLS-GZB,3,27,22.5,1,2,81.7
DEF-2026-0312,TDMS,TRD,NDLS-PWL,1,1,39.8,2,2,54.5
DEF-2026-0313,TMS,Engineering,PWL-MTJ,2,20,14.5,1,4,77.3
DEF-2026-0314,TDMS,TRD,DEC-GGN,1,3,39.5,4,2,66.6
DEF-2026-0315,TMS,Engineering,GZB-MTC,3,26,24.3,5,6,100.0
DEF-2026-0316,TMS,Engineering,GZB-ALJN,5,5,23.6,3,6,100.0
DEF-2026-0317,TMS,Engineering,DEC-GGN,5,64,22.6,4,5,100.0
DEF-2026-0318,TMS,Engineering,GZB-ALJN,2,164,16.7,4,0,100.0
DEF-2026-0319,TMS,Engineering,GZB-ALJN,4,4,11.0,1,3,82.8
