train_no,train_name,type,priority_class,days_of_run,punctuality_pct,avg_passengers
04376,Rajdhani Express 106,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",98.5,1432
04217,Rajdhani Express 107,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",97.1,1305
04212,Rajdhani Express 108,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",97.7,1274
04256,Shatabdi Express 109,Shatabdi Express,1,"MON,TUE,FRI,SAT,SUN",93.2,1321
22016,Goods Freight 110,Goods Freight,4,"MON,TUE,WED,THU,SUN",57.3,0
22796,Express Passenger 111,Express Passenger,3,"MON,WED,THU,FRI,SAT,SUN",84.2,1044
22469,Goods Freight 112,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",69.2,0
12329,Rajdhani Express 113,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",99.0,1471
22517,Superfast Express 114,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",85.0,1864
22747,Express Passenger 115,Express Passenger,3,"TUE,WED,THU,FRI,SUN",84.3,1703
12093,Express Passenger 116,Express Passenger,3,"MON,WED,THU,FRI,SUN",78.3,1600
04337,Goods Freight 117,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",67.0,0
04519,Rajdhani Express 118,Rajdhani Express,1,"MON,TUE,THU,SAT,SUN",93.2,1484
12780,Superfast Express 119,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT",80.3,1679
22006,Superfast Express 120,Superfast Express,2,"MON,TUE,THU,FRI,SUN",81.7,2048
12764,Rajdhani Express 121,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",92.8,1366
04086,Goods Freight 122,Goods Freight,4,"MON,TUE,WED,FRI,SUN",56.6,0
22621,Express Passenger 123,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT",71.7,1694
22539,Goods Freight 124,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",59.1,0
22296,Shatabdi Express 125,Shatabdi Express,1,"MON,WED,THU,FRI,SAT,SUN",93.4,1560
04572,Shatabdi Express 126,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",90.2,1239
04587,Superfast Express 127,Superfast Express,2,"MON,TUE,WED,THU,SAT,SUN",80.3,1732
04471,Shatabdi Express 128,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",94.7,1402
04347,Superfast Express 129,Superfast Express,2,"MON,TUE,WED,FRI,SUN",86.1,2194
22744,Superfast Express 130,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",82.1,1556
12791,Rajdhani Express 131,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",91.4,1234
22646,Express Passenger 132,Express Passenger,3,"MON,TUE,WED,THU,FRI,SUN",74.7,1462
12377,Rajdhani Express 133,Rajdhani Express,1,"MON,TUE,THU,FRI,SAT,SUN",94.0,1492
22619,Shatabdi Express 134,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT,SUN",98.8,1243
04176,Goods Freight 135,Goods Freight,4,"TUE,WED,THU,FRI,SAT",65.5,0
22939,Superfast Express 136,Superfast Express,2,"MON,TUE,WED,THU,FRI,SUN",80.8,1496
04395,Goods Freight 137,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT",66.7,0
22990,Superfast Express 138,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",86.7,2058
12686,Superfast Express 139,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",80.2,1716
12349,Shatabdi Express 140,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT,SUN",97.6,1251
04855,Goods Freight 141,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",58.2,0
12420,Express Passenger 142,Express Passenger,3,"TUE,WED,THU,FRI,SAT,SUN",81.3,1459
04244,Shatabdi Express 143,Shatabdi Express,1,"TUE,WED,THU,FRI,SAT,SUN",94.2,1344
04540,Express Passenger 144,Express Passenger,3,"MON,TUE,THU,FRI,SAT,SUN",79.6,1380
12728,Goods Freight 145,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",73.1,0
12969,Express Passenger 146,Express Passenger,3,"MON,TUE,WED,THU,SUN",70.8,1514
12395,Superfast Express 147,Superfast Express,2,"MON,TUE,WED,FRI,SUN",90.1,2065
12140,Superfast Express 148,Superfast Express,2,"TUE,WED,THU,FRI,SAT",87.4,1481
22220,Rajdhani Express 149,Rajdhani Express,1,"MON,THU,FRI,SAT,SUN",97.0,1321
12048,Superfast Express 150,Superfast Express,2,"MON,THU,FRI,SAT,SUN",81.3,1911
04016,Goods Freight 151,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",67.3,0
22191,Goods Freight 152,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",72.5,0
22259,Express Passenger 153,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",72.0,1360
22833,Goods Freight 154,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",56.3,0
22206,Rajdhani Express 155,Rajdhani Express,1,"MON,TUE,WED,SAT,SUN",94.6,1478
22037,Express Passenger 156,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",71.9,1376
22761,Express Passenger 157,Express Passenger,3,"TUE,WED,THU,FRI,SAT,SUN",75.5,1531
12744,Superfast Express 158,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT",83.9,1481
04302,Superfast Express 159,Superfast Express,2,"TUE,WED,THU,FRI,SAT,SUN",84.2,1443
04445,Superfast Express 160,Superfast Express,2,"MON,TUE,THU,FRI,SAT,SUN",91.4,1546
04800,Goods Freight 161,Goods Freight,4,"MON,TUE,WED,THU,SAT,SUN",62.2,0
12695,Goods Freight 162,Goods Freight,4,"MON,WED,THU,FRI,SAT,SUN",65.6,0
04285,Superfast Express 163,Superfast Express,2,"MON,TUE,WED,THU,SUN",84.6,1975
22793,Rajdhani Express 164,Rajdhani Express,1,"TUE,WED,THU,FRI,SAT,SUN",91.8,1269
22176,Rajdhani Express 165,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",98.0,1280
22520,Shatabdi Express 166,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT",90.2,1483
22478,Goods Freight 167,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",65.5,0
12128,Goods Freight 168,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT",57.6,0
22514,Shatabdi Express 169,Shatabdi Express,1,"MON,TUE,THU,FRI,SUN",91.5,1365
22970,Shatabdi Express 170,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",95.6,1514
12514,Goods Freight 171,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",71.5,0
12971,Rajdhani Express 172,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",94.5,1521
22657,Goods Freight 173,Goods Freight,4,"MON,TUE,WED,THU,SAT,SUN",68.8,0
22495,Express Passenger 174,Express Passenger,3,"TUE,WED,THU,FRI,SAT,SUN",81.0,1353
12778,Express Passenger 175,Express Passenger,3,"MON,TUE,WED,FRI,SAT,SUN",71.8,1460
12099,Shatabdi Express 176,Shatabdi Express,1,"MON,WED,THU,FRI,SAT",98.7,1281
04320,Superfast Express 177,Superfast Express,2,"TUE,THU,FRI,SAT,SUN",90.5,1909
12967,Rajdhani Express 178,Rajdhani Express,1,"TUE,WED,THU,FRI,SAT,SUN",90.4,1344
04903,Express Passenger 179,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",83.2,1744
22374,Superfast Express 180,Superfast Express,2,"MON,TUE,THU,FRI,SUN",86.6,1475
04461,Express Passenger 181,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",75.6,1347
22773,Goods Freight 182,Goods Freight,4,"TUE,WED,THU,FRI,SAT",55.8,0
04341,Shatabdi Express 183,Shatabdi Express,1,"TUE,WED,THU,FRI,SAT,SUN",91.5,1515
04344,Superfast Express 184,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",89.8,1777
04112,Superfast Express 185,Superfast Express,2,"MON,TUE,WED,THU,FRI,SUN",88.7,1997
12536,Express Passenger 186,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",78.6,1717
12019,Rajdhani Express 187,Rajdhani Express,1,"MON,TUE,WED,THU,SAT,SUN",93.7,1596
22893,Goods Freight 188,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",65.5,0
22934,Shatabdi Express 189,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",98.6,1342
22230,Goods Freight 190,Goods Freight,4,"TUE,WED,THU,FRI,SAT,SUN",62.0,0
12587,Superfast Express 191,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",83.5,2131
22946,Rajdhani Express 192,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT",98.4,1556
12111,Superfast Express 193,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",80.6,1823
04483,Superfast Express 194,Superfast Express,2,"MON,TUE,THU,SAT,SUN",87.8,1887
04204,Express Passenger 195,Express Passenger,3,"MON,WED,THU,FRI,SAT,SUN",78.0,1740
12427,Rajdhani Express 196,Rajdhani Express,1,"MON,TUE,WED,THU,SAT",98.7,1348
12305,Rajdhani Express 197,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",97.7,1439
12828,Superfast Express 198,Superfast Express,2,"TUE,WED,THU,FRI,SUN",82.2,2154
22581,Superfast Express 199,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",84.8,1497
12488,Shatabdi Express 200,Shatabdi Express,1,"MON,TUE,WED,THU,SAT,SUN",96.8,1368
04740,Superfast Express 201,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",83.7,1815
04788,Goods Freight 202,Goods Freight,4,"MON,WED,THU,FRI,SAT,SUN",59.4,0
12765,Express Passenger 203,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",80.2,1610
04457,Rajdhani Express 204,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",91.5,1466
12696,Express Passenger 205,Express Passenger,3,"MON,WED,THU,FRI,SAT",76.7,1056
12525,Express Passenger 206,Express Passenger,3,"MON,TUE,WED,THU,FRI,SUN",80.8,1405
12763,Superfast Express 207,Superfast Express,2,"MON,TUE,THU,FRI,SAT",88.4,1954
12956,Rajdhani Express 208,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SUN",93.4,1395
22384,Express Passenger 209,Express Passenger,3,"TUE,WED,FRI,SAT,SUN",82.9,1121
04402,Shatabdi Express 210,Shatabdi Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",96.1,1478
04388,Express Passenger 211,Express Passenger,3,"TUE,WED,THU,SAT,SUN",72.8,1742
12676,Rajdhani Express 212,Rajdhani Express,1,"MON,TUE,WED,FRI,SAT,SUN",95.3,1428
04720,Goods Freight 213,Goods Freight,4,"MON,TUE,THU,SAT,SUN",59.7,0
12515,Rajdhani Express 214,Rajdhani Express,1,"TUE,WED,THU,FRI,SAT,SUN",92.1,1273
12423,Goods Freight 215,Goods Freight,4,"MON,TUE,WED,THU,FRI,SUN",66.1,0
04687,Superfast Express 216,Superfast Express,2,"MON,TUE,WED,THU,FRI,SUN",83.6,1588
22246,Goods Freight 217,Goods Freight,4,"MON,TUE,WED,THU,SAT",66.2,0
04137,Goods Freight 218,Goods Freight,4,"MON,TUE,WED,THU,SAT,SUN",73.4,0
04741,Rajdhani Express 219,Rajdhani Express,1,"MON,WED,THU,FRI,SUN",91.7,1589
04222,Goods Freight 220,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT",74.2,0
12712,Express Passenger 221,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",75.7,1546
22267,Superfast Express 222,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT",89.1,1727
22320,Shatabdi Express 223,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT,SUN",95.0,1499
04427,Goods Freight 224,Goods Freight,4,"MON,TUE,WED,THU,SAT,SUN",65.0,0
22989,Superfast Express 225,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",81.7,1959
12938,Express Passenger 226,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT,SUN",76.2,1645
12724,Shatabdi Express 227,Shatabdi Express,1,"MON,TUE,THU,FRI,SAT",90.5,1526
22675,Goods Freight 228,Goods Freight,4,"MON,WED,THU,FRI,SAT,SUN",65.6,0
22017,Goods Freight 229,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",59.8,0
22814,Superfast Express 230,Superfast Express,2,"MON,WED,THU,FRI,SAT,SUN",91.9,1631
04847,Superfast Express 231,Superfast Express,2,"MON,TUE,FRI,SAT,SUN",84.6,1965
12652,Express Passenger 232,Express Passenger,3,"MON,TUE,THU,SAT,SUN",79.7,1339
12916,Goods Freight 233,Goods Freight,4,"MON,TUE,WED,THU,FRI,SAT,SUN",68.7,0
04673,Goods Freight 234,Goods Freight,4,"MON,TUE,WED,SAT,SUN",57.9,0
22166,Rajdhani Express 235,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",94.5,1377
12447,Rajdhani Express 236,Rajdhani Express,1,"MON,TUE,WED,THU,SUN",90.3,1339
22233,Express Passenger 237,Express Passenger,3,"TUE,WED,THU,FRI,SAT,SUN",71.3,1633
12075,Superfast Express 238,Superfast Express,2,"TUE,WED,THU,SAT,SUN",84.7,1769
12005,Rajdhani Express 239,Rajdhani Express,1,"MON,WED,THU,FRI,SAT,SUN",91.7,1429
04524,Goods Freight 240,Goods Freight,4,"MON,WED,THU,FRI,SAT,SUN",66.9,0
12298,Express Passenger 241,Express Passenger,3,"MON,TUE,WED,THU,FRI,SAT",80.3,1173
22308,Shatabdi Express 242,Shatabdi Express,1,"MON,TUE,WED,THU,SAT,SUN",93.8,1447
22257,Rajdhani Express 243,Rajdhani Express,1,"TUE,THU,FRI,SAT,SUN",91.0,1355
22340,Rajdhani Express 244,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",92.9,1555
22321,Shatabdi Express 245,Shatabdi Express,1,"WED,THU,FRI,SAT,SUN",97.0,1366
22836,Express Passenger 246,Express Passenger,3,"MON,TUE,WED,FRI,SAT,SUN",80.2,1563
04472,Rajdhani Express 247,Rajdhani Express,1,"MON,TUE,WED,THU,FRI,SAT,SUN",95.7,1323
04157,Superfast Express 248,Superfast Express,2,"MON,TUE,WED,THU,FRI,SAT,SUN",86.4,2108
04037,Express Passenger 249,Express Passenger,3,"MON,WED,THU,FRI,SAT,SUN",79.9,1363
04627,Shatabdi Express 250,Shatabdi Express,1,"TUE,WED,THU,FRI,SAT",91.0,1250
